trip_distance,fare_amount,winter,spring,summer,fall,PULongitude,PULatitude,DOLongitude,DOLatitude,pickup_datetime,dropoff_datetime,ride_duration,Early morning,Morning,Afternoon,Night,Holiday Proximity,label
0.8,9.5,0,1,0,0,-73.9721454850812,40.7568161553126,-73.9774318381095,40.758226481221705,2019-04-10 13:15:42,2019-04-10 13:30:15,0 days 00:14:33.000000000,0,0,1,0,0,C
0.5,4.5,0,0,0,1,-73.9833103532463,40.737348376320796,-73.98592880648721,40.7488076668144,2019-10-29 19:54:16,2019-10-29 19:58:23,0 days 00:04:07.000000000,0,0,0,0,0,A
1.21,9.5,1,0,0,0,-74.0083857570117,40.735248066679,-73.9946282171513,40.7324859518256,2019-02-02 19:51:34,2019-02-02 20:05:11,0 days 00:13:37.000000000,0,0,0,0,0,C
8.77,29.89,0,0,0,1,-73.9492699670747,40.667089560726104,-73.98878589284921,40.753514091774605,2019-09-18 07:28:00,2019-09-18 08:14:00,0 days 00:46:00.000000000,0,1,0,0,0,J
1.95,11.5,1,0,0,0,-73.9898566508315,40.7622367556144,-73.9904776189691,40.7403134645878,2019-12-07 16:32:11,2019-12-07 16:48:18,0 days 00:16:07.000000000,0,0,1,0,0,D
2.49,11.0,1,0,0,0,-73.97827334184859,40.7841073645538,-73.9545680421348,40.7655068182316,2019-01-16 06:31:52,2019-01-16 06:44:08,0 days 00:12:16.000000000,0,1,0,0,0,D
0.69,5.5,1,0,0,0,-73.9569723853064,40.7804914757347,-73.9569723853064,40.7804914757347,2019-02-22 18:45:26,2019-02-22 18:51:19,0 days 00:05:53.000000000,0,0,0,0,0,B
0.6,5.5,1,0,0,0,-73.9774318381095,40.758226481221705,-73.9774318381095,40.758226481221705,2019-02-09 00:04:21,2019-02-09 00:10:32,0 days 00:06:11.000000000,1,0,0,0,0,B
0.51,4.0,1,0,0,0,-73.9293212827563,40.7352734102809,-73.9293212827563,40.7352734102809,2019-12-29 07:33:11,2019-12-29 07:36:08,0 days 00:02:57.000000000,0,1,0,0,0,A
0.38,4.5,1,0,0,0,-73.9597126787805,40.7668388165846,-73.9656914919459,40.7685418846646,2019-01-22 13:57:22,2019-01-22 14:01:00,0 days 00:03:38.000000000,0,0,1,0,0,A
1.12,6.5,0,0,0,1,-73.9656914919459,40.7685418846646,-73.97827334184859,40.7841073645538,2019-09-18 13:00:32,2019-09-18 13:07:05,0 days 00:06:33.000000000,0,0,1,0,0,B
0.9,5.5,0,0,0,1,-73.9999401565074,40.7483972248318,-74.00249690862721,40.734611555981395,2019-11-13 16:07:36,2019-11-13 16:13:09,0 days 00:05:33.000000000,0,0,1,0,0,B
0.7,5.0,1,0,0,0,-73.98135241373991,40.7739059853886,-73.9879729664182,40.77577020957129,2019-01-18 20:47:32,2019-01-18 20:52:14,0 days 00:04:42.000000000,0,0,0,0,0,B
